regressor,h,rmse_regular,rmse_multiplicative,n
Oil,1,0.730839249850781,0.7287930601928309,121
Oil,2,0.7568877543178069,0.7642610601458737,120
Oil,3,0.8069890697656348,0.8220179324193859,119
Oil,4,0.7856892224368012,0.8124125116144492,118
Oil,5,0.8122051280573144,0.9466588646801715,117
Oil,6,0.785287659743247,0.8938141872974511,116
Oil,7,0.8069298319062842,0.736057540899868,115
Oil,8,0.7817077182575919,0.734953104502932,114
