regressor,h,rmse_regular,rmse_multiplicative,n
PI,1,0.687858742589555,0.6968062857365863,121
PI,2,0.758279542015685,0.7686299886912225,120
PI,3,0.8033713653252521,0.806042718924194,119
PI,4,0.8258443244246608,0.8009202122725465,118
PI,5,0.8028309401167808,0.8239842328487038,117
PI,6,0.7965289306614245,0.8419861555554385,116
PI,7,0.7475374915621502,0.7785686834950958,115
PI,8,0.7627377130037003,0.7557026835955576,114
