h,regressor,train_start,train_end,eval_end,rmse_regular,rmse_multiplicative,n_regular,n_multiplicative
1,TERM,1958Q1,1990Q4,2023Q4,1.238050851104628,1.2373993277210165,132,132
2,TERM,1958Q1,1990Q4,2023Q4,1.1562419769395709,1.1562419769395709,131,131
3,TERM,1958Q1,1990Q4,2023Q4,1.119682802026632,1.1178514015900822,130,130
4,TERM,1958Q1,1990Q4,2023Q4,1.122733797378666,1.1227814742932745,129,129
5,TERM,1958Q1,1990Q4,2023Q4,1.1151425896402032,1.1151425896641494,128,128
6,TERM,1958Q1,1990Q4,2023Q4,1.1055992394938827,1.0953791640940183,127,127
7,TERM,1958Q1,1990Q4,2023Q4,1.0979519940410882,1.1002994032231557,126,126
8,TERM,1958Q1,1990Q4,2023Q4,1.1109269155499208,1.115429979416801,125,125
