h,regressor,train_start,train_end,eval_end,rmse_regular,rmse_multiplicative,n_regular,n_multiplicative
1,Manu,1967Q1,1990Q4,2023Q4,1.2064738987275758,1.2198249878400513,132,132
2,Manu,1967Q1,1990Q4,2023Q4,1.1053897583976593,1.1152675174698434,131,131
3,Manu,1967Q1,1990Q4,2023Q4,1.0933155393787735,1.0958204456942149,130,130
4,Manu,1967Q1,1990Q4,2023Q4,1.1015780651020752,1.111111269727683,129,129
5,Manu,1967Q1,1990Q4,2023Q4,1.1018659907027755,1.1058331931129342,128,128
6,Manu,1967Q1,1990Q4,2023Q4,1.1055088805902997,1.115729417984542,127,127
7,Manu,1967Q1,1990Q4,2023Q4,1.130524116787435,1.1245055206643422,126,126
8,Manu,1967Q1,1990Q4,2023Q4,1.146396974424966,1.1416099105695114,125,125
