h,regressor,train_start,train_end,eval_end,rmse_regular,rmse_multiplicative,n_regular,n_multiplicative
1,LEI,1958Q1,1990Q4,2023Q4,1.1416319616162927,1.1440893741634568,132,132
2,LEI,1958Q1,1990Q4,2023Q4,1.082167113504345,1.0872300727926225,131,131
3,LEI,1958Q1,1990Q4,2023Q4,1.0686837144826482,1.070667047327645,130,130
4,LEI,1958Q1,1990Q4,2023Q4,1.0845949162048352,1.0846112205272114,129,129
5,LEI,1958Q1,1990Q4,2023Q4,1.0990594833638434,1.0990633774934515,128,128
6,LEI,1958Q1,1990Q4,2023Q4,1.0955396943207383,1.0962930528911514,127,127
7,LEI,1958Q1,1990Q4,2023Q4,1.1114679151901312,1.1115880476594098,126,126
8,LEI,1958Q1,1990Q4,2023Q4,1.1143609841760784,1.1104324066487457,125,125
