regressor,h,rmse_regular,rmse_multiplicative,n
SP,1,0.6914499919507914,0.6915788908400021,121
SP,2,0.7325015460651544,0.7132379815225256,120
SP,3,0.7643911526847771,0.7784500658892317,119
SP,4,0.7788690378684686,0.7618352601145215,118
SP,5,0.7953520429157392,0.8079445667088871,117
SP,6,0.8138862567361571,0.7980335305808764,116
SP,7,0.7718859704606119,0.7569468629113885,115
SP,8,0.733249072524138,0.7484293147373,114
