h,regressor,train_start,train_end,eval_end,rmse_regular,rmse_multiplicative,n_regular,n_multiplicative
1,Exptn,1978Q1,1990Q4,2023Q4,1.2951595768824413,1.2911504915618357,132,132
2,Exptn,1978Q1,1990Q4,2023Q4,1.102365958259645,1.0932700086456304,131,131
3,Exptn,1978Q1,1990Q4,2023Q4,1.0760771822005144,1.0759295969401672,130,130
4,Exptn,1978Q1,1990Q4,2023Q4,1.0824335853962987,1.0822492433897297,129,129
5,Exptn,1978Q1,1990Q4,2023Q4,1.0872930274740857,1.0872930274740857,128,128
6,Exptn,1978Q1,1990Q4,2023Q4,1.1025886963915206,1.10984170897008,127,127
7,Exptn,1978Q1,1990Q4,2023Q4,1.091487094200569,1.0924799903316431,126,126
8,Exptn,1978Q1,1990Q4,2023Q4,1.1056244921566067,1.1167741958271806,125,125
