h,regressor,train_start,train_end,eval_end,rmse_regular,rmse_multiplicative,n_regular,n_multiplicative
1,SP,1958Q1,1990Q4,2023Q4,1.196676158502205,1.2131718735996468,132,132
2,SP,1958Q1,1990Q4,2023Q4,1.107600333550711,1.105779837548398,131,131
3,SP,1958Q1,1990Q4,2023Q4,1.082357499944649,1.0888701264793414,130,130
4,SP,1958Q1,1990Q4,2023Q4,1.0940716557570977,1.0976199697316749,129,129
5,SP,1958Q1,1990Q4,2023Q4,1.0827082993728678,1.1104447082884912,128,128
6,SP,1958Q1,1990Q4,2023Q4,1.0920048184298459,1.124676733294969,127,127
7,SP,1958Q1,1990Q4,2023Q4,1.1028980475975363,1.0984496412099405,126,126
8,SP,1958Q1,1990Q4,2023Q4,1.1140187537498265,1.1395990402792011,125,125
