h,regressor,train_start,train_end,eval_end,rmse_regular,rmse_multiplicative,n_regular,n_multiplicative
1,PI,1958Q1,1990Q4,2023Q4,1.1385137815843118,1.1385633474515306,132,132
2,PI,1958Q1,1990Q4,2023Q4,1.1101375820916453,1.1111124033130737,131,131
3,PI,1958Q1,1990Q4,2023Q4,1.1039806594784172,1.090240353398671,130,130
4,PI,1958Q1,1990Q4,2023Q4,1.176341681421386,1.0990235602014087,129,129
5,PI,1958Q1,1990Q4,2023Q4,1.1016844485319661,1.1007295783857762,128,128
6,PI,1958Q1,1990Q4,2023Q4,1.118650456535401,1.1176252162832967,127,127
7,PI,1958Q1,1990Q4,2023Q4,1.1134953405500905,1.1010003044657564,126,126
8,PI,1958Q1,1990Q4,2023Q4,1.1267228635202957,1.1148207755378186,125,125
