group,model,1,2,3,4,5,6,7,8
Best Predictor,State Space,Term,Term,Term,Term,Exptn,Term,Emply,Term
,Regular MIDAS,PI,LEI,LEI,Exptn,SP,SP,Exptn,Exptn
,Multiplicative MIDAS,PI,LEI,LEI,Exptn,Exptn,Term,Exptn,LEI
RMSE,State Space,1.176776893026724,1.170467112864487,1.165939648019651,1.165509091987426,1.162011668528227,1.163140303481244,1.162377642097098,1.167786847154361
,Regular MIDAS,1.1385137815843118,1.082167113504345,1.0686837144826482,1.0824335853962987,1.0827082993728678,1.092004818429846,1.091487094200569,1.1056244921566067
,Multiplicative MIDAS,1.1385633474515306,1.0872300727926223,1.070667047327645,1.0822492433897295,1.0872930274740855,1.0953791640940185,1.0924799903316431,1.1104324066487457
