,label,1,2,3,4,5,6,7,8
0,Term Spread,,,,,,,,
1,State Space (m0),0.5593211363602512,0.5570564344444765,0.5578841812997801,0.5590364234543641,0.559520276678525,0.54083500171062,0.5289859075343164,0.5161550296814559
2,Regular Midas (m1),0.7446692705258501,0.7293315034738018,0.80029861369921,0.7507350904661775,0.7720013080256535,0.8162508909217471,0.7742559134336205,0.7629092286637708
3,Multiple Midas (m2),0.736134876940937,0.7288326158932781,0.8083096238373157,0.7507350904661775,0.771723273552359,0.8134010193369174,0.7152262045749367,0.7584368676074593
4,Ratio (m0/m1),0.7511000634755415,0.7637904461705272,0.6970950239699645,0.7446520491099252,0.7247659697746681,0.6625842712402861,0.6832184273393581,0.6765615230340013
5,Ratio (m0/m2),0.7598079562329006,0.7643132624652538,0.6901862415683208,0.7446520491099252,0.7250270865915038,0.6649057338918846,0.7396064408024535,0.6805510804211061
6,SP 500,,,,,,,,
7,State Space (m0),0.5766573476794694,0.5625390359774527,0.562120352522715,0.5579219087699628,0.5595847154112888,0.5412244886643242,0.5291598875810234,0.5163033108845086
8,Regular Midas (m1),0.6914499919507914,0.7325015460651544,0.7643911526847771,0.7788690378684686,0.7953520429157392,0.8138862567361571,0.7718859704606119,0.733249072524138
9,Multiple Midas (m2),0.6915788908400021,0.7132379815225256,0.7784500658892317,0.7618352601145215,0.8079445667088871,0.7980335305808764,0.7569468629113885,0.7484293147373
10,Ratio (m0/m1),0.833982723830169,0.7679697592439158,0.7353831223037776,0.7163231321877014,0.7035685900294746,0.6649878704608432,0.6855415279348254,0.7041308748024531
11,Ratio (m0/m2),0.8338272832171796,0.7887115528769503,0.7221020039102944,0.7323393100577863,0.6926028572612636,0.6781976795766653,0.6990713793908268,0.6898491289932063
12,Industrial Production,,,,,,,,
13,State Space (m0),0.5660465449887612,0.5618392842334161,0.5607895767028825,0.5557120585415688,0.5586988099030147,0.541420226040096,0.5295411402444636,0.5163109436511297
14,Regular Midas (m1),0.7100888877851567,0.7468524521917865,0.7683505198840928,0.7455269249673236,0.7959931014771725,0.7855346072839037,0.7444584292637084,0.7313106238602001
15,Multiple Midas (m2),0.6549774266169028,0.7491496583594438,0.777618495402763,0.7821500556703603,0.7891671599292428,0.7524133987531759,0.7332295727210894,0.7147786643409546
16,Ratio (m0/m1),0.7971488566090944,0.7522761458231642,0.7298616480242361,0.745395021871176,0.7018890099250905,0.6892379037406544,0.7113105573513293,0.7060077165648144
17,Ratio (m0/m2),0.8642229823285842,0.7499693525373594,0.7211628581601893,0.7104928964881074,0.7079600346688374,0.7195781294395918,0.7222037407455931,0.7223368147497554
18,Employment,,,,,,,,
19,State Space (m0),0.5774602533686267,0.5584385385830839,0.5569988578824583,0.5557890937791583,0.5585783535792973,0.5411978271423474,0.5294556006595742,0.5162950406454416
20,Regular Midas (m1),0.7058458256955232,0.7572348670254289,0.7930462182597072,0.7868416778600895,0.8005569571879703,0.7828931640334817,0.7505116452889715,0.7277654288107642
21,Multiple Midas (m2),0.7124312957784605,0.7613583153392175,0.8004918922337849,0.7950097879955753,0.7944298135040969,0.7888846110398895,0.7492332378889986,0.7355530733724644
22,Ratio (m0/m1),0.8181110270073659,0.7374707147027487,0.7023535893087784,0.7063544159108266,0.6977371798021155,0.6912792856104211,0.7054595408119437,0.7094250705053623
23,Ratio (m0/m2),0.8105486898040415,0.7334766394904031,0.6958207363326872,0.6990971710932591,0.7031185689211508,0.6860291347665572,0.7066632576944147,0.7019140553356149
24,Expectations,,,,,,,,
25,State Space (m0),0.4630350693220328,0.4566351646377627,0.4643178191761783,0.4642864757872245,0.4612031668895221,0.4585644856321632,0.4583650773318278,0.4559058058614178
26,Regular Midas (m1),0.5503626113963563,0.5903458598721677,0.6274645225199342,0.6652207403704573,0.6980568047028258,0.6715486464854652,0.6878608952330584,0.7014043807472384
27,Multiple Midas (m2),0.5503626113963563,0.5937266112131142,0.6383546340567151,0.6618696143873011,0.6980568047028258,0.6734125528197173,0.6878608952330584,0.7014122679794871
28,Ratio (m0/m1),0.8413272626700425,0.7735044753877695,0.7399905532689733,0.6979434759184842,0.6606957539592553,0.682846265913944,0.6663630401267778,0.6499899606782044
29,Ratio (m0/m2),0.8413272626700425,0.7691000470818657,0.7273665677422272,0.7014772482296514,0.6606957539592553,0.6809562484572926,0.6663630401267778,0.6499826516788995
30,Personal Income,,,,,,,,
31,State Space (m0),0.5786365995900513,0.5590001744609787,0.5574833688836707,0.556203445043557,0.5587901592380193,0.5411733558335269,0.5295446593399113,0.5161969381495678
32,Regular Midas (m1),0.687858742589555,0.758279542015685,0.8033713653252521,0.8258443244246608,0.8028309401167808,0.7965289306614245,0.7475374915621502,0.7627377130037003
33,Multiple Midas (m2),0.6968062857365863,0.7686299886912225,0.806042718924194,0.8009202122725465,0.8239842328487038,0.8419861555554385,0.7785686834950958,0.7557026835955576
34,Ratio (m0/m1),0.8412142839264943,0.7371953791276302,0.6939298473228113,0.6734967215898058,0.6960246937627205,0.6794145636168487,0.708385419215974,0.6767686051824522
35,Ratio (m0/m2),0.8304124280084254,0.7272682339818812,0.6916300535878923,0.6944554982142036,0.6781563735827234,0.6427342685658858,0.6801515018080572,0.6830688170823406
36,Crude Oil Price,,,,,,,,
37,State Space (m0),0.4756865575071286,0.4667530236097804,0.4737640963505611,0.4661206318898163,0.4684328400818858,0.4698404867427243,0.467478150736342,0.4688489430480903
38,Regular Midas (m1),0.730839249850781,0.7568877543178069,0.8069890697656348,0.7856892224368012,0.8122051280573144,0.785287659743247,0.8069298319062842,0.7817077182575919
39,Multiple Midas (m2),0.7287930601928309,0.7642610601458737,0.8220179324193859,0.8124125116144492,0.9466588646801716,0.8938141872974511,0.736057540899868,0.734953104502932
40,Ratio (m0/m1),0.6508771355729073,0.6166740325062746,0.5870762245740841,0.5932633649271036,0.5767420370791234,0.5983036673419019,0.5793293694843027,0.5997752511554364
41,Ratio (m0/m2),0.6527045652455404,0.6107245913074412,0.5763427750975767,0.5737487116779235,0.4948275007598917,0.5256578978269975,0.6351108775610479,0.6379304205608943
42,Leading Index,,,,,,,,
43,State Space (m0),0.566772613389541,0.5552409135322596,0.5562796196587017,0.556926200422508,0.5596972693607403,0.5406699624959901,0.5297114198831931,0.5165731051192399
44,Regular Midas (m1),0.6352460750915359,0.6402861046062676,0.6414437126587194,0.6315022218047538,0.6618146530823867,0.6781083971568758,0.6697097673471332,0.6778757268396817
45,Multiple Midas (m2),0.6348553121083407,0.6374516132693423,0.6393321687955213,0.6314969912956825,0.6371273468247484,0.6781083971568758,0.6697097673471337,0.6778757268396817
46,Ratio (m0/m1),0.8922095477848829,0.8671762662625562,0.8672306060230582,0.8819069532817843,0.8457009326613772,0.7973208483523759,0.790956688568984,0.7620469131230746
47,Ratio (m0/m2),0.8927587161668404,0.8710322508787091,0.8700948377221692,0.8819142578649933,0.878470014119004,0.7973208483523759,0.7909566885689834,0.7620469131230746
48,Manufacturing,,,,,,,,
49,State Space (m0),0.4584538305084647,0.4543579754118021,0.454350377311622,0.4555168127576228,0.4562629464968879,0.456941630356021,0.4574163507036444,0.4591895694797983
50,Regular Midas (m1),0.725966840380372,0.7521860783374988,0.8084110100556683,0.7680683646639095,0.788011007546726,0.8073905450202077,0.7377495827078879,0.7965557850871238
51,Multiple Midas (m2),0.7469528197180372,0.801501048151692,0.7980008790897273,0.8025668790219065,0.7906408644551594,0.8493609331554304,0.7911540336170737,0.7530858681251709
52,Ratio (m0/m1),0.6315079491347798,0.6040499664870638,0.562028932881969,0.5930680571083634,0.579005803380016,0.5659487012503774,0.6200157362674625,0.5764688149613704
