h,regressor,train_start,train_end,eval_end,rmse_regular,rmse_multiplicative,n_regular,n_multiplicative
1,Emply,1958Q1,1990Q4,2023Q4,1.2288458237551534,1.2051153034466613,132,132
2,Emply,1958Q1,1990Q4,2023Q4,1.1318861394352147,1.128573125261327,131,131
3,Emply,1958Q1,1990Q4,2023Q4,1.121166537881605,1.110965884712423,130,130
4,Emply,1958Q1,1990Q4,2023Q4,1.122374093788178,1.2447937327906102,129,129
5,Emply,1958Q1,1990Q4,2023Q4,1.1191327718303081,1.125033205272379,128,128
6,Emply,1958Q1,1990Q4,2023Q4,1.1188663718207492,1.3074950833964665,127,127
7,Emply,1958Q1,1990Q4,2023Q4,1.3104588230425056,1.1232218130831304,126,126
8,Emply,1958Q1,1990Q4,2023Q4,1.138318345518463,1.1252180055074446,125,125
