group,model,1,2,3,4,5,6,7,8
Best Predictor,State Space,Manu,Manu,Manu,Manu,Manu,Manu,Manu,Exptn
,Regular MIDAS,Exptn,Exptn,Exptn,LEI,LEI,Exptn,LEI,LEI
,Multiplicative MIDAS,Exptn,Exptn,Exptn,LEI,LEI,Exptn,LEI,LEI
RMSE,State Space,0.4584538305084647,0.4543579754118021,0.454350377311622,0.4555168127576228,0.4562629464968879,0.456941630356021,0.4574163507036444,0.4559058058614178
,Regular MIDAS,0.5503626113963563,0.5903458598721677,0.6274645225199342,0.6315022218047538,0.6618146530823867,0.6715486464854652,0.6697097673471332,0.6778757268396817
,Multiplicative MIDAS,0.5503626113963563,0.5937266112131142,0.6383546340567151,0.6314969912956825,0.6371273468247484,0.6734125528197173,0.6697097673471337,0.6778757268396817
