Date,GDP
1959-01-01,1.120352524540806
1959-04-01,1.447965583817465
1959-07-01,-0.6581183686753431
1959-10-01,-0.4709109062315379
1960-01-01,1.447965583817465
1960-04-01,-1.2197407560067586
1960-07-01,-0.2603025109822571
1960-10-01,-1.8983678073655523
1961-01-01,-0.09649598134392758
1961-04-01,0.909744129291525
1961-07-01,1.120352524540806
1961-10-01,1.1671543901517571
1962-01-01,0.979946927707952
1962-04-01,0.13751334671082888
1962-07-01,0.4417254731820122
1962-10-01,-0.42410904062058663
1963-01-01,0.3013198763491584
1963-04-01,0.34812174196010953
1963-07-01,1.4011637182065135
1963-10-01,-0.11989691414940323
1964-01-01,1.3075599869846108
1964-04-01,0.3013198763491584
1964-07-01,0.7693385324586713
1964-10-01,-0.4475099734260623
1965-01-01,1.6117721134557943
1965-04-01,0.4885273387929635
1965-07-01,1.4245646510119891
1965-10-01,1.4947674494284162
1966-01-01,1.63517304626127
1966-04-01,-0.400708107815111
1966-07-01,0.06731054829440188
1966-10-01,0.043909615488926204
1967-01-01,0.1141124139053532
1967-04-01,-0.6815193014808186
1967-07-01,0.16091427951630444
1967-10-01,-0.0028922501220250193
1968-01-01,1.2373571885681842
1968-04-01,0.8863431964860495
1968-07-01,-0.0028922501220250193
1968-10-01,-0.35390624220415967
1969-01-01,0.7693385324586713
1969-04-01,-0.4475099734260623
1969-07-01,-0.09649598134392758
1969-10-01,-1.1729388903958071
1970-01-01,-0.8687267639246239
1970-04-01,-0.5879155702589162
1970-07-01,0.13751334671082888
1970-10-01,-1.7111603449217472
1971-01-01,1.9159842399269778
1971-04-01,-0.21350064537130578
1971-07-01,0.043909615488926204
1971-10-01,-0.5177127718424892
1972-01-01,1.0501497261243788
1972-04-01,1.4713665166229406
1972-07-01,0.16091427951630444
1972-10-01,0.8863431964860495
1973-01-01,1.6819749118722216
1973-04-01,0.3013198763491584
1973-07-01,-1.2197407560067586
1973-10-01,0.18431521232178008
1974-01-01,-1.5239528824779418
1974-04-01,-0.4943118390370136
1974-07-01,-1.5941556808943689
1974-10-01,-1.0793351591739047
1975-01-01,-1.8515659417546009
1975-04-01,-0.04969411573297635
1975-07-01,0.909744129291525
1975-10-01,0.5587301372093905
1976-01-01,1.447965583817465
1976-04-01,-0.026293182927500682
1976-07-01,-0.21350064537130578
1976-10-01,-0.04969411573297635
1977-01-01,0.3949236075710609
1977-04-01,1.1437534573462815
1977-07-01,1.0033478605134278
1977-10-01,-0.72832116709177
1978-01-01,-0.42410904062058663
1978-04-01,3.109431813006235
1978-07-01,0.2311170779327313
1978-10-01,0.5587301372093905
1979-01-01,-0.5645146374534404
1979-04-01,-0.6347174358698674
1979-07-01,-0.026293182927500682
1979-10-01,-0.4943118390370136
1980-01-01,-0.42410904062058663
1980-04-01,-2.600395791529822
1980-07-01,-0.8453258311191483
1980-10-01,1.0735506589298547
1981-01-01,1.1671543901517571
1981-04-01,-1.4069482184505635
1981-07-01,0.41832454037653666
1981-10-01,-1.7345612777272226
1982-01-01,-2.155778068225784
1982-04-01,-0.3071043765932084
1982-07-01,-1.0793351591739047
1982-10-01,-0.6815193014808186
1983-01-01,0.5353292044039148
1983-04-01,1.4713665166229406
1983-07-01,1.1905553229572325
1983-10-01,1.2841590541791352
1984-01-01,1.1671543901517571
1984-04-01,0.9331450620970007
1984-07-01,0.18431521232178008
1984-10-01,0.043909615488926204
1985-01-01,0.18431521232178008
1985-04-01,0.1141124139053532
1985-07-01,0.7459375996531955
1985-10-01,-0.026293182927500682
1986-01-01,0.16091427951630444
1986-04-01,-0.3071043765932084
1986-07-01,0.18431521232178008
1986-10-01,-0.21350064537130578
1987-01-01,-0.026293182927500682
1987-04-01,0.3013198763491584
1987-07-01,0.09071148109987753
1987-10-01,0.909744129291525
1988-01-01,-0.23690157817678145
1988-04-01,0.5353292044039148
1988-07-01,-0.16669877976035458
1988-10-01,0.5353292044039148
1989-01-01,0.2311170779327313
1989-04-01,-0.0028922501220250193
1989-07-01,-0.026293182927500682
1989-10-01,-0.5411137046479649
1990-01-01,0.3013198763491584
1990-04-01,-0.37730717500963534
1990-07-01,-0.6581183686753431
1990-10-01,-1.5707547480888933
1991-01-01,-1.1729388903958071
1991-04-01,0.020508682683450647
1991-07-01,-0.2603025109822571
1991-10-01,-0.400708107815111
1992-01-01,0.41832454037653666
1992-04-01,0.3013198763491584
1992-07-01,0.20771614512725575
1992-10-01,0.25451801073820707
1993-01-01,-0.5645146374534404
1993-04-01,-0.19009971256583022
1993-07-01,-0.28370344378773277
1993-10-01,0.582131070014866
1994-01-01,0.18431521232178008
1994-04-01,0.5587301372093905
1994-07-01,-0.16669877976035458
1994-10-01,0.3715226747655853
1995-01-01,-0.400708107815111
1995-04-01,-0.4475099734260623
1995-07-01,0.09071148109987753
1995-10-01,-0.09649598134392758
1996-01-01,-0.026293182927500682
1996-04-01,0.8629422636805737
1996-07-01,0.1141124139053532
1996-10-01,0.25451801073820707
1997-01-01,-0.11989691414940323
1997-04-01,0.8629422636805737
1997-07-01,0.4651264059874878
1997-10-01,0.09071148109987753
1998-01-01,0.2311170779327313
1998-04-01,0.16091427951630444
1998-07-01,0.4651264059874878
1998-10-01,0.8161403980696225
1999-01-01,0.16091427951630444
1999-04-01,0.06731054829440188
1999-07-01,0.5353292044039148
1999-10-01,0.8395413308750982
2000-01-01,-0.37730717500963534
2000-04-01,1.0267487933189032
2000-07-01,-0.6347174358698674
2000-10-01,-0.16669877976035458
2001-01-01,-1.0325332935629534
2001-04-01,-0.1432978469548789
2001-07-01,-1.1027360919793805
2001-10-01,-0.4709109062315379
2002-01-01,0.06731054829440188
2002-04-01,-0.1432978469548789
2002-07-01,-0.35390624220415967
2002-10-01,-0.6113165030643918
2003-01-01,-0.23690157817678145
