h,regressor,train_start,train_end,eval_end,rmse_regular,rmse_multiplicative,n_regular,n_multiplicative
1,IP,1958Q1,1990Q4,2023Q4,1.2213384547408128,1.1487134866744422,132,132
2,IP,1958Q1,1990Q4,2023Q4,1.1358765934117707,1.1260676073968012,131,131
3,IP,1958Q1,1990Q4,2023Q4,1.1121581106158456,1.1367113843404795,130,130
4,IP,1958Q1,1990Q4,2023Q4,1.1033560667723483,1.108724987972521,129,129
5,IP,1958Q1,1990Q4,2023Q4,1.1142539977942587,1.0997186347770245,128,128
6,IP,1958Q1,1990Q4,2023Q4,1.1206035379699082,1.138396658499389,127,127
7,IP,1958Q1,1990Q4,2023Q4,1.1437527681760031,1.1046949245680482,126,126
8,IP,1958Q1,1990Q4,2023Q4,1.1506125202395796,1.1210948412522805,125,125
