Date,SP,IP,Emply,Exptn,PI,LEI,Oil,Manu,TERM
1959-01-01,,,,,,0.012249713505232256,,,
1959-02-01,-0.23281725215785853,1.7676056872004757,0.44865678877151316,,0.19835507832985813,0.29710341125523315,-0.04467250410118409,,
1959-03-01,0.07757833898258971,1.2533105945062628,0.8228740258451117,,0.8041666378622409,0.5403258771811703,-0.16641776186653567,,
1959-04-01,-0.15392661553278955,1.9375841102476508,0.7550582932790836,,0.7557301453361454,0.7256649188594275,-0.04467250410118409,,
1959-05-01,0.6559707458179395,1.3187422406370506,0.49888062981909287,,0.6885155221372978,0.8383094249679931,-0.04467250410118409,,
1959-06-01,0.24919713325786272,-0.07746218825722687,0.18186256911944834,,0.09876048811052855,0.8754572933648382,-0.04467250410118409,,
1959-07-01,-0.004820059405536488,-2.643693373996423,0.1552527783070498,,-0.5184973562030625,0.852880356106408,-0.04467250410118409,,
1959-08-01,0.5295793646131294,-3.6778299391736113,-1.741976231693053,,-1.3350828506840433,0.7994802952859353,-0.04467250410118409,,
1959-09-01,-0.8434242850563914,-0.3157851567085219,0.0579794600364298,,-0.39384437587268867,0.7464004747102624,-0.04467250410118409,,
1959-10-01,-0.9020714286672703,-0.9299377523913627,-0.464204474903695,,-0.20252548445503474,0.7186196334738227,-0.04467250410118409,,
1959-11-01,0.05110564372182466,0.421333693961862,0.6492358353532438,,0.6970051895315699,0.7299881621642406,-0.04467250410118409,,
1959-12-01,0.3722601313880973,5.87149946259547,1.485328899826914,,1.4686722430653396,0.7760226973542974,-0.04467250410118409,,
1960-01-01,0.3305694730740554,2.427108370895205,0.07876289596409067,,0.3684683408022462,0.8238986139519724,-0.04467250410118409,,
1960-02-01,-1.701992742371377,-1.0967924499801205,0.5175289792169115,,-0.24567087500718884,0.8324650405003843,-0.04467250410118409,,
1960-03-01,-0.11697071923217203,-1.1049421268717101,-0.4249456699077497,,-0.2458049924384698,0.7710589735598963,-0.04467250410118409,,
1960-04-01,-0.3762280275158615,-0.9978739391689823,0.8921861670593115,,0.1969768251034211,0.6416819146605094,-0.04467250410118409,,
1960-05-01,-0.6818376801600895,-0.3084912344912339,-1.3030268463293189,,0.0031173255392223935,0.4597854556138574,-0.04467250410118409,,
1960-06-01,0.5964977879726604,-1.47222175026719,-0.6402526593757247,,-0.4322179442577005,0.23954022725235294,-0.04467250410118409,,
1960-07-01,0.33777584218693624,-0.5448757218908747,-0.37163379143805814,,-0.0807233901308406,-0.01661193855741061,-0.04467250410118409,,
1960-08-01,-0.7609180922539758,-0.31050220148398355,-0.34636861406526775,,-0.8093389152589822,-0.30908735413365807,-0.04467250410118409,,
1960-09-01,0.4980613580801777,-1.2570206122668672,-0.38134013355617263,,-0.3490480612775062,-0.6299280493931094,-0.04467250410118409,,
1960-10-01,-1.6873416420961345,-0.31188242525692217,-0.508547422903571,,0.11724402346222114,-0.9493276635509564,-0.04467250410118409,,
1960-11-01,0.11052715404044963,-1.6305457662495793,-0.8148487745977213,,-1.3342016300406054,-1.2293777576289504,-0.04467250410118409,,
1960-12-01,0.43372026862561625,-2.14249473468159,-0.9384198307720817,,-1.3525452444291237,-1.4373818026329632,-0.04467250410118409,,
1961-01-01,0.7853207326771116,-0.07032467731370831,-0.427620573052927,,1.0261152048959623,-1.5618832038052517,-0.04467250410118409,,
1961-02-01,1.5259957733893024,-0.3159253952490955,-0.6429722948584787,,-0.3810501846585544,-1.60217743260727,-0.04467250410118409,,
1961-03-01,0.42262192185695585,0.4202987274725679,0.08882972425796536,,0.4101786414670979,-1.5643410476841015,-0.04467250410118409,,
1961-04-01,0.6341589778277203,1.8638632623020361,-0.34125055675982185,,0.1717040771352238,-1.4637695988045223,-0.04467250410118409,,
1961-05-01,-0.2883095069943333,1.352516852594189,0.2708669681847746,,0.5801492090226078,-1.3171235847042737,-0.04467250410118409,,
1961-06-01,0.3466457061528562,1.2126495035882596,0.37141287703151216,,0.9125388611012467,-1.1392061106992672,-0.04467250410118409,,
1961-07-01,-0.607484630314836,0.9638186613820915,0.226239688260163,,-0.006451862674858875,-0.943371194997666,-0.04467250410118409,,
1961-08-01,0.6100330127969676,0.7228222658948524,0.31692059024070957,,0.3036439770027617,-0.740474981898226,-0.04467250410118409,,
1961-09-01,0.14005322308897913,-0.30705974367328626,0.04640154974146711,,-0.07722100805802681,-0.5393881261819028,-0.04467250410118409,,
1961-10-01,-0.6201714240410945,1.7285964040633552,0.18486099453180896,,1.3459170856111653,-0.3484528862257562,-0.04467250410118409,,
1961-11-01,0.5261917944046884,1.362446677218466,0.45437995593762115,,1.1027715352422645,-0.17581137025382818,-0.04467250410118409,,
1961-12-01,0.6659820691205292,0.6850283314549829,0.1695819936330993,,0.5036430420404476,-0.029445566367789118,-0.04467250410118409,,
1962-01-01,-0.20846328579241385,-1.0716878653872495,-0.17902010298706175,,-0.6177549468793708,0.08382340821813072,-0.04467250410118409,,-0.07270374201761792
1962-02-01,-0.6936829332014959,1.4473125858928457,0.6899961298278376,,0.3975452477638491,0.15843938525663204,-0.04467250410118409,,-0.11626028425160603
1962-03-01,0.17176909742381158,0.3480928581441885,0.03246974774252608,,0.6873530608670707,0.19254497132788567,-0.04467250410118409,,-0.08141505046441508
1962-04-01,-0.4102806339195939,0.022633500321577908,0.7764354771352643,,0.6267149355808488,0.19246491126668291,-0.04467250410118409,,-0.01172458289003356
1962-05-01,-1.3842809701058072,-0.30114689889466245,-0.15814636100576496,,-0.16197435798453572,0.1662852712542418,-0.04467250410118409,,-0.11626028425160603
1962-06-01,-2.4574693834215484,-0.4087133084143304,-0.18910716176276485,,-0.19196914250891442,0.11904983514617762,-0.04467250410118409,,-0.011724582890033173
1962-07-01,-1.5391910042230286,0.7742171931683045,0.07656044379359533,,0.38164779029306234,0.050438362697679255,-0.04467250410118409,,-0.11626028425160603
1962-08-01,0.6258100940496975,-0.08629985205945616,0.04516854013920831,,-0.21086772991505956,-0.041766809786483554,-0.04467250410118409,,-0.16852813493239208
1962-09-01,0.1820396775623159,0.4462554693507732,0.1923237103296748,,-0.19928746419196408,-0.15596448108232366,-0.04467250410118409,,-0.09883766735801056
1962-10-01,-1.3726621137422026,-0.08708495022065033,-0.04503354105469702,,0.14733788971758044,-0.28023370807713777,-0.04467250410118409,,0.005698034003562305
1962-11-01,0.5266410737084164,0.23031899882997905,-0.1925416631470797,,0.3853648876079668,-0.3987946527083809,-0.04467250410118409,,0.023120650897157397
1962-12-01,1.720817032318961,-0.1931250362814019,-0.32457365490485307,,0.4630897700822194,-0.4977649003639616,-0.04467250410118409,,-0.020435891336830717
1963-01-01,0.13862323099013063,0.5437587155649833,0.028408946814862206,,-0.783863047023476,-0.5714681927047878,-0.04467250410118409,,-0.12497159269840397
1963-02-01,1.1502708392317895,0.954422533153996,0.11370698640042673,,0.03686890522766886,-0.6177749321029317,-0.04467250410118409,,-0.0639924335708196
1963-03-01,-0.9149813365121091,0.42691105218091857,0.036617183205341186,,0.33693245889081447,-0.635548265689355,-0.04467250410118409,,0.005698034003562305
1963-04-01,0.8261107433642347,0.730047051582653,0.5540005112117166,,0.06845192400660237,-0.6242437850479061,-0.04467250410118409,,-0.0639924335708196
1963-05-01,0.9088798094442422,1.025303184676026,-0.12913890698318622,,0.29715919383622036,-0.5850543850904473,-0.04467250410118409,,-0.08141505046441508
1963-06-01,0.09737491652164385,0.10920151192797078,-0.10794679003974715,,0.4486755908805486,-0.5243848707130065,-0.04467250410118409,,-0.1946620602727855
1963-07-01,-0.739097620325421,-0.5963032925934099,0.17093807761514515,,-0.2966894824338204,-0.45952020912866814,-0.04467250410118409,,-0.11626028425160642
1963-08-01,-0.06760914244243767,0.008477882555004855,0.11252311939149987,,0.18787614171782102,-0.4084098660585173,-0.04467250410118409,,-0.36017692076194235
1963-09-01,1.0248390490438197,0.8100154201879965,0.268654506552572,,0.7464666378853935,-0.3800125623508346,-0.04467250410118409,,-0.4211560798895263
1963-10-01,-0.27678428313106307,0.5031611769493507,0.378351753225839,,0.5025942903190168,-0.363976532092459,-0.04467250410118409,,-0.38631084610233535
1963-11-01,0.36828984667684705,0.3011457667530844,-0.32273156296175515,,-0.006347379746752604,-0.3433450543211833,-0.04467250410118409,,-0.4037334629959308
1963-12-01,-0.19033515066826154,-0.3903966824703522,0.07970121692365768,,0.7687380944793241,-0.306485402144659,-0.04467250410118409,,-0.5256917812510996
1964-01-01,0.40721672107719337,0.6923096157396043,0.13899301575899228,,-0.4105537913344705,-0.2595221702446706,-0.04467250410118409,,-0.5431143981446951
1964-02-01,0.3261412907156513,0.4903857576462338,0.5558257769906965,,1.0700880771855181,-0.2163057492088535,-0.04467250410118409,,-0.44729000522991974
1964-03-01,0.1586398990585436,-0.1931250362814019,0.1899417933707511,,0.4376273597805303,-0.18939756263948768,-0.04467250410118409,,-0.5779596319318859
1964-04-01,0.23315914186456851,1.4478933944729186,-0.16430555667972535,,0.6027413477938279,-0.18103128624408266,-0.04467250410118409,,-0.5605370150382901
1964-05-01,0.13019082665639328,0.3794865752121638,0.25684236141036637,,0.6346841491365537,-0.18910134041305565,-0.04467250410118409,,-0.48213523901711103
1964-06-01,-0.15463049656484962,0.09214551387224412,0.14608967263450578,,0.23963755705659373,-0.21184640380000258,-0.04467250410118409,,-0.4995578559107058
